Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,Relationship,Employer,MonthlyIncome,Schedule,EmploymentStatus,EmploymentStartDate,EmployerDepartment,LengthOfEmployment,PrimarySourceOfIncome,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,BestTimeToCall,PhoneType,ContactName,PostalCode,Country,PrimaryAddress,AddressType,Address1,Address2,ApartmentNumber,POBox,City,CreateCustomerFlag,LandlordFirstName,LandlordLastName,LandlordPhoneNumber,FirstName,LastName,MiddleInitial,DateOfBirth,Email,CustomerID,IDNumber,IDType,StateProvince,CustomerAccountID,LineOfBusinessType,CustomerVerified,OwnershipType,POSType,LanguagePreference,DoNotVisit,DoNotCall,Active,ChecksAllowed,ACHAllowed,EpayAllowed,AutopayAllowed,EnrollinAutopay,EnrollinEpay,NationalIDNumber,HttpStatus
1,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_Numeric,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_Alphabetic,,ABCDEFGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_AlphaNumeric,,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_SpecialCharacter,,#$%*()#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_SpecialCharSlash,,10/10/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_SpecialCharHyphen,,abcd-ed-gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_Characters_20,,TENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,EmployerInfo_Employer,CCS_EmployerInfo_Employer_MaxLimit_30,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1,,,,,,,,,,,,,,,,,,,,,1445 Allens Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_Numeric,,,,,,,,,,,,,,,,,,,,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_Alphabetic,,,,,,,,,,,,,,,,,,,,,ABCDEFGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_AlphaNumeric,,,,,,,,,,,,,,,,,,,,,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_SpecialCharacter,,,,,,,,,,,,,,,,,,,,,#$%*()#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_SpecialChar,,,,,,,,,,,,,,,,,,,,,123-Road1#$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_SpecialCharHyphen,,,,,,,,,,,,,,,,,,,,,abcd-ed-gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_Characters_20,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TRUE,EmployerInfo_Address1,CCS_EmployerInfo_Address1_MaxLimit_30,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2,,,,,,,,,,,,,,,,,,,,,,1445 Allens Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_Numeric,,,,,,,,,,,,,,,,,,,,,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_Alphabetic,,,,,,,,,,,,,,,,,,,,,,ABCDEFGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_SpecialCharacter,,,,,,,,,,,,,,,,,,,,,,#$%*()#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_SpecialChar,,,,,,,,,,,,,,,,,,,,,,123-Road1#$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_SpecialCharHyphen,,,,,,,,,,,,,,,,,,,,,,abcd-ed-gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_Characters_20,,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TRUE,EmployerInfo_Address2,CCS_EmployerInfo_Address2_MaxLimit_30,,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TRUE,EmployerInfo_ApartmentNumber,CCS_EmployerInfo_ApartmentNumber_Numeric,,,,,,,,,,,,,,,,,,,,,,,123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox,,,,,,,,,,,,,,,,,,,,,,,,1445A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_Numeric,,,,,,,,,,,,,,,,,,,,,,,,123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_Alphabetic,,,,,,,,,,,,,,,,,,,,,,,,ABCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,ABC123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_SpecialCharacter,,,,,,,,,,,,,,,,,,,,,,,,#$%*(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_SpecialChar,,,,,,,,,,,,,,,,,,,,,,,,1-Rd#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_SpecialCharHyphen,,,,,,,,,,,,,,,,,,,,,,,,ab-e-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_Characters_20,,,,,,,,,,,,,,,,,,,,,,,,TENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,EmployerInfo_POBox,CCS_EmployerInfo_POBox_MaxLimit_30,,,,,,,,,,,,,,,,,,,,,,,,TENCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRUE,EmployerInfo_City,CCS_EmployerInfo_City,,,,,,,,,,,,,,,,,,,,,,,,,1445 Allens Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_Numeric,,,,,,,,,,,,,,,,,,,,,,,,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_Alphabetic,,,,,,,,,,,,,,,,,,,,,,,,,ABCDEFGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_SpecialCharacter,,,,,,,,,,,,,,,,,,,,,,,,,#$%*()#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_SpecialChar,,,,,,,,,,,,,,,,,,,,,,,,,123-Road1#$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_SpecialCharHyphen,,,,,,,,,,,,,,,,,,,,,,,,,abcd-ed-gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TRUE,EmployerInfo_City,CCS_EmployerInfo_City_Characters_19,,,,,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
