Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,JobTitle,Relationship,Employer,MonthlyIncome,Schedule,EmploymentStatus,EmploymentStartDate,EmployerDepartment,LengthOfEmployment,PrimarySourceOfIncome,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,BestTimeToCall,PhoneType,ContactName,PostalCode,Country,PrimaryAddress,AddressType,Address1,Address2,ApartmentNumber,POBox,City,CreateCustomerFlag,LandlordFirstName,LandlordLastName,LandlordPhoneNumber,FirstName,LastName,MiddleInitial,DateOfBirth,Email,CustomerID,IDNumber,IDType,StateProvince,CustomerAccountID,LineOfBusinessType,CustomerVerified,OwnershipType,POSType,LanguagePreference,DoNotVisit,DoNotCall,Active,ChecksAllowed,ACHAllowed,EpayAllowed,AutopayAllowed,EnrollinAutopay,EnrollinEpay,NationalIDNumber,HttpStatus
1,TRUE,EmployerInfo_Address1,CCS_Neg_EmployerInfo_Address1_OverMaxLimit_51,,,,,,,,,,,,,,,,,,,,,,TTENCHARACTTENCHARACTTENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,EmployerInfo_Address2,CCS_Neg_EmployerInfo_Address2_OverMaxLimit_31,,,,,,,,,,,,,,,,,,,,,,,TTENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_OverMaxLimit_31,,,,,,,,,,,,,,,,,,,,,,,,TTENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber,,,,,,,,,,,,,,,,,,,,,,,,1445 Allens Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_Alphabetic,,,,,,,,,,,,,,,,,,,,,,,,ABCDEFGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_SpecialCharacter,,,,,,,,,,,,,,,,,,,,,,,,#$%*()#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_SpecialChar,,,,,,,,,,,,,,,,,,,,,,,,123-Road1#$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_SpecialCharHyphen,,,,,,,,,,,,,,,,,,,,,,,,abcd-ed-gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_Characters_20,,,,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,EmployerInfo_ApartmentNumber,CCS_Neg_EmployerInfo_ApartmentNumber_Characters_MaxLimit_30,,,,,,,,,,,,,,,,,,,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
