Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,CreateCustomerFlag,LandlordFirstName,LandlordLastName,LandlordPhoneNumber,FirstName,LastName,DateOfBirth,Email,IDType,NationalIDNumber,StateProvince,LanguagePreference,EnrollinAutopay,EnrollinEpay,AutopayAllowed,EpayAllowed,ACHAllowed,ChecksAllowed,Active,DoNotCall,DoNotVisit,POSType,OwnershipType,CustomerVerified,LineOfBusinessType,CustomerAccountID,IDNumber,CustomerID,HttpStatus
1,TRUE,CustomerInfo_CreateCustomerFlag,CCS_CustomerInfo_CreateCustomerFlag_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
2,TRUE,CustomerInfo_CreateCustomerFlag,CCS_CustomerInfo_CreateCustomerFlag_0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
3,TRUE,CustomerInfo_CreateCustomerFlag,CCS_CustomerInfo_CreateCustomerFlag_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
4,TRUE,CustomerInfo_LandlordFirstName,CCS_CustomerInfo_LandlordFirstName_MAXLIMIT_30,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,,200
5,TRUE,CustomerInfo_LandlordLastName,CCS_CustomerInfo_LandlordLastName_MAXLIMIT_30,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,,,200
6,TRUE,CustomerInfo_LandlordPhoneNumber,CCS_CustomerInfo_LandlordPhoneNumber,,,,9999999999,,,,,,,,,,,,,,,,,,,,,,,,,200
7,TRUE,CustomerInfo_LandlordPhoneNumber,CCS_CustomerInfo_LandlordPhoneNumber_Numeric,,,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,,200
8,TRUE,CustomerInfo_LandlordPhoneNumber,CCS_CustomerInfo_LandlordPhoneNumber_MaxLimit_10,,,,9876598765,,,,,,,,,,,,,,,,,,,,,,,,,200
9,TRUE,CustomerInfo_FirstName,CCS_CustomerInfo_FirstName,,,,,FirstCustomer,,,,,,,,,,,,,,,,,,,,,,,,200
10,TRUE,CustomerInfo_FirstName,CCS_CustomerInfo_FirstName_Alphabetic,,,,,ABCDE,,,,,,,,,,,,,,,,,,,,,,,,200
11,TRUE,CustomerInfo_FirstName,CCS_CustomerInfo_FirstName_Characters_30,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,,200
12,TRUE,CustomerInfo_LastName,CCS_CustomerInfo_LastName,,,,,,medarametla,,,,,,,,,,,,,,,,,,,,,,,200
13,TRUE,CustomerInfo_LastName,CCS_CustomerInfo_LastName_Alphabetic,,,,,,ABCDE,,,,,,,,,,,,,,,,,,,,,,,200
14,TRUE,CustomerInfo_LastName,CCS_CustomerInfo_LastName_Characters_30,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,,,,,,,200
15,TRUE,CustomerInfo_DateOfBirth,CCS_CustomerInfo_DateOfBirth,,,,,,,19840101,,,,,,,,,,,,,,,,,,,,,,200
16,TRUE,CustomerInfo_Email,CCS_CustomerInfo_Email,,,,,,,,raja.java33@gmail.com,,,,,,,,,,,,,,,,,,,,,200
17,TRUE,CustomerInfo_Email,CCS_CustomerInfo_Email_MaxLimit,,,,,,,,Testing_Email_Address_Length.Maximum_050@gmail.com,,,,,,,,,,,,,,,,,,,,,200
18,TRUE,CustomerInfo_IDType,CCS_CustomerInfo_IDType_1,,,,,,,,,1,,,,,,,,,,,,,,,,,,632309998,,200
19,TRUE,CustomerInfo_IDType,CCS_CustomerInfo_IDType_2,,,,,,,,,2,,,,,,,,,,,,,,,,,,632309998,,200
20,TRUE,CustomerInfo_IDType,CCS_CustomerInfo_IDType_3,,,,,,,,,3,,,,,,,,,,,,,,,,,,632309998,,200
21,TRUE,CustomerInfo_IDType,CCS_CustomerInfo_IDType_10,,,,,,,,,10,,,,,,,,,,,,,,,,,,987654321,,200
22,TRUE,CustomerInfo_NationalIDNumber,CCS_CustomerInfo_NationalIDNumber,,,,,,,,,,987654321,,,,,,,,,,,,,,,,,,,200
23,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_TX,,,,,,,,,,,TX,,,,,,,,,,,,,,,,,,200
24,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_AZ,,,,,,,,,,,AZ,,,,,,,,,,,,,,,,,,200
25,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_AL,,,,,,,,,,,AL,,,,,,,,,,,,,,,,,,200
26,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_AK,,,,,,,,,,,AK,,,,,,,,,,,,,,,,,,200
27,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_AR,,,,,,,,,,,AR,,,,,,,,,,,,,,,,,,200
28,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_CA,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,200
29,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_CO,,,,,,,,,,,CO,,,,,,,,,,,,,,,,,,200
30,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_CT,,,,,,,,,,,CT,,,,,,,,,,,,,,,,,,200
31,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_DE,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,200
32,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_FL,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,200
33,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_GA,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,200
34,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_HI,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,200
35,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_ID,,,,,,,,,,,ID,,,,,,,,,,,,,,,,,,200
36,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_IL,,,,,,,,,,,IL,,,,,,,,,,,,,,,,,,200
