Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,Active,FirstName,LastName,MiddleInitial,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,DoNotCall,BestTimeToCall,Relationship,Address1,Address2,ApartmentNumber,POBox,City,StateProvince,PostalCode,HttpStatus
1,TRUE,ReferencesInfo_Active,CCS_ReferencesInfo_Active_0,0,,,,,,,,,,,,,,,,,,200
2,TRUE,ReferencesInfo_Active,CCS_ReferencesInfo_Active_1,1,,,,,,,,,,,,,,,,,,200
3,TRUE,ReferencesInfo_FirstName,CCS_ReferencesInfo_FirstName,,medarametla,,,,,,,,,,,,,,,,,200
4,TRUE,ReferencesInfo_FirstName,CCS_ReferencesInfo_FirstName_Alphabetic,,ABCDE,,,,,,,,,,,,,,,,,200
5,TRUE,ReferencesInfo_FirstName,CCS_ReferencesInfo_FirstName_MaxLimit_30,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,,200
6,TRUE,ReferencesInfo_LastName,CCS_ReferencesInfo_LastName,,,medarametla,,,,,,,,,,,,,,,,200
7,TRUE,ReferencesInfo_LastName,CCS_ReferencesInfo_LastName_Alphabetic,,,ABCDE,,,,,,,,,,,,,,,,200
8,TRUE,ReferencesInfo_LastName,CCS_ReferencesInfo_LastName_MaxLimit_30,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,,,,,,,200
9,TRUE,ReferencesInfo_MiddleInitial,CCS_ReferencesInfo_MiddleInitial,,,,A,,,,,,,,,,,,,,,200
10,TRUE,ReferencesInfo_MiddleInitial,CCS_ReferencesInfo_MiddleInitial_Numeric,,,,2,,,,,,,,,,,,,,,200
11,TRUE,ReferencesInfo_MiddleInitial,CCS_ReferencesInfo_MiddleInitial_SpecialCharacter,,,,$,,,,,,,,,,,,,,,200
12,TRUE,ReferencesInfo_PhoneNumber,CCS_ReferencesInfo_PhoneNumber,,,,,9999999999,,,,,,,,,,,,,,200
13,TRUE,ReferencesInfo_PhoneNumber,CCS_ReferencesInfo_PhoneNumber_Numeric,,,,,1234567890,,,,,,,,,,,,,,200
14,TRUE,ReferencesInfo_PhoneNumber,CCS_ReferencesInfo_PhoneNumber_MaxLimit_10,,,,,9876598765,,,,,,,,,,,,,,200
15,TRUE,ReferencesInfo_PhoneExtension,CCS_ReferencesInfo_PhoneExtension,,,,,,9999,,,,,,,,,,,,,200
16,TRUE,ReferencesInfo_PhoneExtension,CCS_ReferencesInfo_PhoneExtension_Numeric,,,,,,1234,,,,,,,,,,,,,200
17,TRUE,ReferencesInfo_PhoneExtension,CCS_ReferencesInfo_PhoneExtension_MaxLimit_4,,,,,,9876,,,,,,,,,,,,,200
18,TRUE,ReferencesInfo_PrimaryPhone,CCS_ReferencesInfo_PrimaryPhone_0,,,,,,,0,,,,,,,,,,,,200
19,TRUE,ReferencesInfo_PrimaryPhone,CCS_ReferencesInfo_PrimaryPhone_1,,,,,,,1,,,,,,,,,,,,200
20,TRUE,ReferencesInfo_DoNotCall,CCS_ReferencesInfo_DoNotCall_0,0,,,,,,,,,,,,,,,,,,200
21,TRUE,ReferencesInfo_DoNotCall,CCS_ReferencesInfo_DoNotCall_1,1,,,,,,,,,,,,,,,,,,200
22,TRUE,ReferencesInfo_BestTimeToCall,CCS_ReferencesInfo_BestTimeToCall_1,,,,,,,,,,1,,,,,,,,,200
23,TRUE,ReferencesInfo_BestTimeToCall,CCS_ReferencesInfo_BestTimeToCall_2,,,,,,,,,,2,,,,,,,,,200
24,TRUE,ReferencesInfo_BestTimeToCall,CCS_ReferencesInfo_BestTimeToCall_3,,,,,,,,,,3,,,,,,,,,200
25,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_1,,,,,,,,,,,1,,,,,,,,200
26,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_2,,,,,,,,,,,2,,,,,,,,200
27,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_3,,,,,,,,,,,3,,,,,,,,200
28,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_4,,,,,,,,,,,4,,,,,,,,200
29,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_5,,,,,,,,,,,5,,,,,,,,200
30,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_6,,,,,,,,,,,6,,,,,,,,200
31,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_7,,,,,,,,,,,7,,,,,,,,200
32,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_8,,,,,,,,,,,8,,,,,,,,200
33,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_9,,,,,,,,,,,9,,,,,,,,200
34,TRUE,ReferencesInfo_Relationship,CCS_ReferencesInfo_Relationship_MaxLimit_1,,,,,,,,,,,9,,,,,,,,200
35,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1,,,,,,,,,,,,1445 Allens Bridge,,,,,,,200
36,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_Numeric,,,,,,,,,,,,1234567890,,,,,,,200
37,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_Alphabetic,,,,,,,,,,,,ABCDEFGH,,,,,,,200
38,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_AlphaNumeric,,,,,,,,,,,,ABC12345,,,,,,,200
39,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_SpecialCharacter,,,,,,,,,,,,#$%*()#$,,,,,,,200
40,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_SpecialChar,,,,,,,,,,,,123-Road1#$%,,,,,,,200
